Aþaðýdakilerden hangisi Java'da kullanýlmayan bir anahtar kelimedir?;import;new;for;console;d
Aþaðýdakilerden hangisi yorum satýrý eklemede kullanýlýr?;/* Bu bir yorum satýrýdýr.;// Bu bir yorum satýrýdýr.;# Bu bir yorum satýrýdýr.;[ Bu bir yorum satýrýdýr. ];b
Stringlerin uzunluðunu bulmayý saðlayan metod hangisidir?;getLength();size();length();getSize();c
Stringleri büyük harfe çevirmek için kullanýlan metod hangisidir?;touppercase();uppercase();toUpperCase();tuc();c
Float deðiþkenlerin varsayýlan deðeri nedir?;0.0d;0.0f;0;tanýmsýz;b
Aþaðýdakilerden hangisi Java'da ilkel veri tipi deðildir?;int;float;bool;double;c
Main metodun sözdizimi kuralý (syntax) hangisidir?;public static int main(String[] args);public int main(String[] args);public static void main();public static void main(String[] args);d
Deðiþken tanýmlamalarýnda hangisine ihtiyaç yoktur?;noktalý virgül;veri tipi;deðiþken adý;eþitleme;d
Stringler == operatörü ile kontrol edilir?;doðru;yanlýþ;;;b
Stringler tek týrnak ile yaratýlabilir.;doðru;yanlýþ;;;b
